Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Spencer Strider","ATL",0,0,0,2,2,9,12,5,2,0.34782608695652173,0.6557377,0.4,0.181818181,96.99991414835165,7,4.26,5.015364652209811,3.844193522632122,0.008047587238252163,"Spencer Strider",27498,675911
"Nick Ramirez","LAD",0,0,0,6,0,9.1,2.892857241387273,4.821428735645456,0,0.2903225806451613,0.71428571,0.483870967,0,,3.8571429885163644,7.19,4.090761510450014,5.596553103990294,0.007862767204642296,"Nick Ramirez",12575,598286
"Luis F. Ortiz","PHI",0,0,0,1,0,0.2,0,0,0,0.75,0.33333333,0.75,0,,27.000028163224034,10.31,3.1264757633209235,3.1264757633209235,0.006116693839430809,"Luis F. Ortiz",16942,656814
"Matt Mervis","CHC",0,0,0,1,0,0.2,0,0,0,0.7777777777777778,0.14285714,0.222222222,0,82.74006652832031,81.0000844896721,14.52,3.1264757633209235,5.234586121406036,0.0036081194411963224,"Matt Mervis",27845,670223
"Jose Cuas","CHC",0,0,0,8,0,11.2,9.257144118328656,3.8571433826369397,0.771428676527388,0.35294117647058826,0.66326531,0.342857142,0.071428571,92.02018006207192,6.171429412219104,5.96,4.240761629416039,4.812962520410233,-0.004798857495188713,"Jose Cuas",17701,621016
"Danny Young","NYM",1,0,0,2,0,3,9,9,0,0.2857142857142857,0.8,0.571428571,0,,0,2.84,4.126475763320924,5.063412722945214,-0.005452430807054043,"Danny Young",18439,664849
"Carson Spiers","CIN",0,0,0,1,0,4,2.25,6.75,0,0.3888888888888889,0.6,0.222222222,0,92.64442180765086,6.75,4.35,4.876475763320923,8.389989361912011,-0.005480299238115549,"Carson Spiers",27685,686730
"José Ruiz","PHI",0,0,0,5,0,7,9,2.5714285714285716,1.2857142857142858,0.2,0.89285714,0.625,0.25,96.9196068548387,2.5714285714285716,3.17,4.269332906178066,3.2152788715703147,-0.005709955468773842,"Jose Ruiz",14552,614179
"Nick Robertson","STL",0,0,0,7,0,9.1,10.607144302251584,1.9285716913184698,1.9285716913184698,0.4,0.89285714,0.333333333,0.153846153,94.56436893857759,3.8571433826369397,5.34,4.197904480720073,3.3697190871038027,-0.005835693329572678,"Nick Robertson",26226,687798
"Jake Bauers","MIL",0,0,0,1,0,1,0,18,0,0.25,1,0,0,60.49364295372596,0,5.45,9.126475763320922,13.34269208163023,-0.006466330494731665,"Jake Bauers",15194,641343
"Bryce Elder","ATL",1,1,0,4,4,20.2,6.967742792897722,3.483871396448861,1.3064517736683228,0.36507936507936506,0.78616352,0.584615384,0.166666666,90.95196143617021,4.790323170117184,5.24,4.91679856427381,4.253764510580571,-0.007155915256589651,"Bryce Elder",27779,693821
"Riley O'Brien","STL",0,0,0,1,0,1,18,18,0,0.5,0.66666667,0,0,96.46250406901042,9,6.39,5.126475763320923,6.531881202757359,-0.007539720274507999,"Riley O'Brien",20348,676617
"Landon Knack","LAD",1,1,0,3,3,16,6.1875,2.8125,1.6875,0.18181818181818182,0.94202899,0.340425531,0.15,93.04301709467822,2.8125,4.26,5.501475763320923,4.820732562616468,-0.007834164425730705,"Landon Knack",27487,689017
"Yunior Marte","PHI",0,0,0,12,0,13.1,8.10000077247627,3.3750003218651123,1.350000128746045,0.25,0.77464789,0.476190476,0.25,96.50217507102273,2.70000025749209,5.81,4.401475884914411,3.2947190430277145,-0.010178145952522755,"Yunior Marte",14416,628708
"Jared Koenig","MIL",4,1,0,12,0,17.1,5.711538880534457,1.5576924219639428,1.0384616146426284,0.2909090909090909,0.79207921,0.482142857,0.09090909,,3.1153848439278855,2.49,4.222629689888142,4.506413537683415,-0.01140183862298727,"Jared Koenig",27517,657649
"Brandon Hughes","ARI",0,0,0,3,1,2.2,13.500003218651585,3.3750008046628963,3.3750008046628963,0.5555555555555556,0.53571429,0.1,0.25,92.4062548828125,13.500003218651585,9.42,6.126476478576831,3.359583978052906,-0.014535397291183472,"Brandon Hughes",23460,676714
"David Bednar","PIT",2,2,9,19,0,17,11.117648306190077,2.6470591205214467,1.588235472312868,0.3191489361702128,0.43269231,0.42,0.142857142,96.9662931743421,7.94117736156434,4.97,4.185299411529502,3.62727077410656,-0.014642388559877872,"David Bednar",19569,670280
"Patrick Wisdom","CHC",0,0,0,1,0,0.1,0,27.000028163224034,0,0.5,1,1,0,86.0573501586914,0,7.28,12.126485151062269,12.126485151062269,-0.01562749408185482,"Patrick Wisdom",13602,621550
"Cole Sulser","NYM",0,0,0,4,0,4.2,13.50000183922929,5.7857150739554095,1.9285716913184698,0.4166666666666667,0.52631579,0.307692307,0.125,92.31175818810097,9.64285845659235,2.67,4.840761711159563,4.464313841763643,-0.017472965642809868,"Cole Sulser",15256,642121
"James Paxton","LAD",5,0,0,8,8,44.1,4.872180590871383,4.872180590871383,1.0150376230982048,0.24242424242424243,0.87037037,0.377777777,0.09090909,93.79886816628702,2.8421053446749736,5.55,5.133994617892927,5.411377313871446,-0.0186044629663229,"James Paxton",11828,572020
"Tyler Rogers","SFG",0,0,0,22,0,20.2,6.0967749437855066,0,1.3064517736683228,0.28125,0.90425532,0.59090909,0.166666666,,2.6129035473366455,2.71,3.9490565097046826,3.286022456011443,-0.019073888659477234,"Tyler Rogers",15541,643511
"Janson Junk","MIL",0,0,0,3,0,5,5.4,1.8,1.8,0.5454545454545454,0.71428571,0.391304347,0.166666666,94.31423828125,9,5.96,5.126475763320923,4.212962290644645,-0.02098638005554676,"Janson Junk",23301,676083
"Richard Lovelady","CHC",0,1,0,7,0,5.2,9.529414437634648,3.176471479211549,1.5882357396057745,0.42105263157894735,0.625,0.4,0.125,92.78704833984375,7.941178698028873,4.01,4.361770227458748,4.051754290294234,-0.02520926110446453,"Richard Lovelady",19337,663992
"Joel Payamps","MIL",1,1,4,16,0,14,8.357143426428074,2.571428746593254,1.285714373296627,0.27906976744186046,0.67901235,0.295454545,0.1,94.5523239356884,5.142857493186508,4.72,4.197904407734779,4.348483617187082,-0.02765333279967308,"Joel Payamps",14332,606303
"Darius Vines","ATL",0,1,0,2,2,9.2,5.586207263960165,2.7931036319800824,1.8620690879867217,0.3,0.80357143,0.46875,0.142857142,90.95027108028017,4.655172719966804,4.97,5.5057862646372895,4.8515458235499,-0.029499094933271408,"Darius Vines",25928,670241
"Taylor Rogers","SFG",1,2,0,18,0,15.1,12.326090278608357,2.347826719734925,1.7608700398011936,0.32432432432432434,0.71428571,0.325,0.157894736,,4.108696759536119,3.95,4.104736896543808,3.3027390727371864,-0.03302722051739693,"Taylor Rogers",13449,573124
"Matt Bowman","ARI",0,0,0,3,0,5.2,6.352941889251472,3.176470944625736,1.588235472312868,0.3333333333333333,0.46511628,0.409090909,0.125,,9.529412833877208,4.78,5.067652451703317,4.757636566713087,-0.03394090011715889,"Matt Bowman",13528,621199
"Edwin Díaz","NYM",1,1,5,17,0,17.2,13.75471747613286,3.566037864182593,2.0377359223900533,0.21212121212121213,0.74626866,0.432432432,0.25,97.3486328125,3.566037864182593,2.3,4.371758827003733,2.7011825610901026,-0.03647853434085846,"Edwin Diaz",14710,621242
"Anthony Molina","COL",0,0,0,9,0,16.2,4.860000741577261,3.7800005767823146,1.080000164794947,0.375,0.55147059,0.465517241,0.153846153,94.95561780427632,7.560001153564629,6.43,4.866476028823893,4.402692200816517,-0.03659945726394653,"Anthony Molina",26952,683627
"Chris Roycroft","STL",0,0,0,4,0,5,10.800002059936917,3.6000006866456387,1.8000003433228193,0.2,1,0.545454545,0.333333333,97.04267035590277,1.8000003433228193,4.18,5.126476144790722,3.3697190733777638,-0.03868240490555763,"Chris Roycroft",31261,688297
"Abner Uribe","MIL",2,2,3,14,0,14.1,8.790699039168542,7.534884890715893,0.6279070742263244,0.358974358974359,0.625,0.575,0.111111111,100.27649688720703,6.906977816489568,4.56,4.591592269849013,4.567079402433728,-0.040205858647823334,"Abner Uribe",25327,682842
"Jalen Beeks","COL",2,2,4,18,0,20.1,6.196722280271293,4.8688532202131585,0.8852460400387561,0.19298245614035087,0.80188679,0.448275862,0.074074074,94.77970064603366,2.21311510009689,3.13,4.651066165609892,5.238571840974515,-0.04226237162947655,"Jalen Beeks",17192,656222
"Drew Smyly","CHC",2,2,0,9,0,12.2,7.815791042888248,3.552632292221931,1.4210529168887724,0.2857142857142857,0.56338028,0.243243243,0.105263157,,4.9736852091107036,3.03,4.6264760644812934,4.6819526558268105,-0.04298824071884155,"Drew Smyly",11760,592767
"Noah Davis","COL",0,0,0,1,0,3,6,0,3,0.36363636363636365,0.55555556,0.25,0.2,,9,3.66,6.126475763320924,4.135484829048316,-0.04551974684000015,"Noah Davis",25862,663562
"Landen Roupp","SFG",0,0,0,10,0,13.2,7.902439943457806,5.2682932956385375,0.6585366619548172,0.3170731707317073,0.64814815,0.414634146,0.083333333,93.5708999633789,5.2682932956385375,6.19,4.297207606796154,4.58000265967868,-0.04636470228433609,"Landen Roupp",30076,694738
"Josiah Gray","WSN",0,2,0,2,2,8.1,9.720000370788588,5.40000020599366,2.160000082397464,0.4642857142857143,0.40697674,0.3,0.133333333,93.32627203525641,14.040000535583516,5.85,5.8864758686065715,5.296205637075134,-0.048687003552913666,"Josiah Gray",24580,680686
"Eli Villalobos","MIA",0,0,0,3,0,4.1,6.230769687855771,4.153846458570514,2.076923229285257,0.16666666666666666,1,0.23076923,0.166666666,93.48526161595395,2.076923229285257,6.72,6.126475983399628,5.072421899140515,-0.04882977157831192,"Eli Villalobos",20408,681871
"Jackson Stephens","ATL",0,0,0,3,0,3.1,5.40000051498418,2.70000025749209,2.70000025749209,0.3333333333333333,1,0.23076923,0.142857142,92.48709542410714,2.70000025749209,5.1,7.6264761924744064,6.677827524820735,-0.049886368215084076,"Jackson Stephens",14420,623451
"Justin Steele","CHC",0,1,0,4,4,19,8.526316645403073,2.3684212903897426,2.3684212903897426,0.24528301886792453,0.6875,0.375,0.192307692,,5.684211096935383,3.77,5.442265469479782,3.94439907834262,-0.05119357630610466,"Justin Steele",17312,657006
"Tejay Antone","CIN",0,0,0,4,0,2,9,18,0,0.4,0.66666667,0.4,0,94.16669778262867,4.5,5.81,7.126475763320923,8.531881202757358,-0.053493332117795944,"Tejay Antone",16233,622088
"J.P. Feyereisen","LAD",0,1,1,8,0,8,7.875000938773267,5.625000670552334,1.1250001341104667,0.2857142857142857,0.60344828,0.454545454,0.166666666,91.95510864257812,6.7500008046628,6.31,5.2514760166406935,4.680530028155955,-0.057380709797143936,"J.P. Feyereisen",16610,656420
"Jackson Rutledge","WSN",0,0,0,1,0,1,9,0,9,0.5,1,0.666666666,1,96.90950012207031,9,11.7,14.126475763320922,2.5318812027573587,-0.05768023803830147,"Jackson Rutledge",26215,671131
"Pedro Avila","SDP",1,0,0,4,0,8,10.125,6.75,1.125,0.2222222222222222,0.37735849,0.666666666,0.333333333,94.05305786132813,9,5.85,5.126475763320923,4.028502803109586,-0.0582263246178627,"Pedro Avila",18864,658648
"Seranthony Domínguez","PHI",1,2,0,17,0,15,9.000001716614097,3.6000006866456387,1.8000003433228193,0.3111111111111111,0.58510638,0.3125,0.12,97.70315270390071,6.600001258850337,3.85,4.926476106643742,4.668818456560172,-0.05866936594247818,"Seranthony Dominguez",19249,622554
"Matt Andriese","MIA",0,0,0,3,0,5,10.8,0,3.6,0.25,0.90909091,0.5,0.285714285,91.68757233796296,5.4,4.78,5.926475763320923,2.694043378531933,-0.05913462117314339,"Matt Andriese",12022,542882
"Kevin Herget","MIL",0,0,1,2,0,3.2,0,2.454545880152248,2.454545880152248,0.15384615384615385,0.76923077,0.357142857,0.166666666,93.0435546875,4.909091760304496,5.66,7.4901128835915864,6.244412477579848,-0.06552432477474213,"Kevin Herget",15369,643361
"Casey Legumina","CIN",0,0,0,1,0,2,4.5,4.5,4.5,0.14285714285714285,0,0.625,1,93.70147346047794,9,10.25,10.126475763320922,4.329178483039141,-0.06922929733991623,"Casey Legumina",25921,668984
"Adrian Houser","NYM",0,3,0,8,6,32.2,4.683673560544881,6.33673481720778,0.5510204188876331,0.30973451327433627,0.55743243,0.478260869,0.052631578,93.25952006495277,7.438775654983047,5.74,5.177496211402668,6.016437249116002,-0.07021047361195087,"Adrian Houser",12718,605288
"Carmen Mlodzinski","PIT",0,0,0,1,0,1.2,5.400002059937309,5.400002059937309,5.400002059937309,0.3333333333333333,0.76923077,0.571428571,1,94.89777483258929,10.800004119874618,11.91,11.526478967667849,4.569719577536608,-0.07024680078029633,"Carmen Mlodzinski",27572,669387
"Luis Frías","ARI",0,1,0,7,0,6.1,9.94736892034475,5.684210811625571,1.4210527029063929,0.5263157894736842,0.51470588,0.5,0.5,96.28231336805555,9.94736892034475,5.77,4.863317955762071,3.254498540095168,-0.07051454484462738,"Luis Frias",21997,666818
