Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Oliver Dunn","MIL",33,90,1,10,6,2,0.055555555,0.388888888,0.107142857,0.375,0.226190476,0.277777777,0.333333333,0.2731146878666348,0.256,74.66060532710146,0.5601055193692446,-2.0738400104494663,0.9665286391973495,0.1979222227417413,"Oliver Dunn",26295,686554
"Garrett Cooper","CHC",12,41,1,3,6,0,0.097560975,0.31707317,0.162162162,0.391304347,0.27027027,0.341463414,0.432432432,0.3418666604088574,0.341,122.55051678198204,-0.27261544438079,0.7952300012975837,-0.3007676601409912,0.19460141019221944,"Garrett Cooper",15279,643265
"Matt Olson","ATL",41,175,5,17,23,0,0.114285714,0.257142857,0.173333334,0.287128712,0.226666666,0.331428571,0.4,0.32336608006085965,0.376,107.58400675568754,-1.671766163315624,-0.13889800101495386,-3.8795480132102966,0.18982477832804107,"Matt Olson",14344,621566
"Vidal Bruján","MIA",36,96,1,12,6,2,0.072916666,0.125,0.137931034,0.297297297,0.264367816,0.333333333,0.40229885,0.3194129035827961,0.276,105.87295677872923,-0.6613874668255448,-0.010214921042108194,-1.4077494144439697,0.1863558963298435,"Vidal Brujan",20536,660644
"Nolan Gorman","STL",39,153,6,14,16,0,0.117647058,0.346405228,0.177777778,0.263157894,0.192592592,0.287581699,0.37037037,0.29294746761259277,0.322,90.72182797086896,-1.3459678092040122,-2.9855073521184177,-0.35608094930648804,0.18391064982472793,"Nolan Gorman",22263,669357
"Will Benson","CIN",43,165,6,15,14,8,0.109090909,0.387878787,0.205479452,0.289473684,0.191780821,0.284848484,0.397260273,0.3029798420992765,0.296,89.9996681923054,-0.5902734445407987,-2.496025506482539,-1.2657275199890137,0.18180759357626847,"Will Benson",21853,666181
"Yasmani Grandal","PIT",10,35,2,4,9,0,0.028571428,0.171428571,0.212121212,0.192307692,0.212121212,0.228571428,0.424242424,0.2779932311603001,0.336,76.79230250462545,-0.05689821345731616,-0.9950392715276071,1.5338783711194992,0.1783281836417691,"Yasmani Grandal",11368,518735
"Nick Senzel","WSN",23,94,5,10,11,0,0.127659574,0.29787234,0.2125,0.234042553,0.2,0.311827956,0.4125,0.31986613182917883,0.334,106.2455356758342,-0.567714384291321,0.11034165926454687,-1.6910234689712524,0.1623725950986485,"Nick Senzel",19293,669222
"Jake Cave","COL",30,60,0,9,4,0,0.083333333,0.266666666,0.055555555,0.358974358,0.259259259,0.316666666,0.314814814,0.2777008990109977,0.254,62.87878408509364,-0.6204722747206688,-3.1928899661629266,2.735363185405731,0.16129372210981596,"Jake Cave",14477,595909
"Starling Marte","NYM",40,178,4,21,15,8,0.061797752,0.230337078,0.109090909,0.314049586,0.254545454,0.299435028,0.363636363,0.29511054592617486,0.332,94.43774185099232,0.3334320071153343,-0.8100759405330242,-3.6091328859329224,0.15838090056117468,"Starling Marte",9241,516782
"Alex Call","WSN",7,21,0,6,1,1,0.142857142,0.238095238,0.0625,0.454545454,0.3125,0.476190476,0.375,0.3992095703170413,0.314,160.12175422524703,0.38249856093898416,1.840704903032766,-1.0370419770479202,0.15721917004097596,"Alex Call",19296,669743
"Matthew Batten","SDP",1,3,0,0,0,0,0,0,0.666666667,0.333333333,0.333333333,0.333333333,1,0.5397805770238241,0.284,261.24307555269814,0.19010402262210846,0.7487933461684322,0.5354774817824364,0.1447287664570106,"Matthew Batten",20157,676946
"Ian Happ","CHC",41,179,2,22,14,1,0.134078212,0.284916201,0.098039216,0.31,0.215686274,0.329608938,0.31372549,0.2982883803005325,0.295,92.95975303555325,-0.35005116229876876,-1.805540301542611,-2.809998333454132,0.14133982198406858,"Ian Happ",17919,664023
"Mark Vientos","NYM",6,18,1,2,3,0,0.055555555,0.222222222,0.235294117,0.333333333,0.294117647,0.333333333,0.529411764,0.374577263991038,0.369,148.39767037768556,-0.027579406276345253,0.9785758645224936,-0.24674831703305244,0.13925224025391494,"Mark Vientos",22184,668901
"Pavin Smith","ARI",17,35,1,6,9,0,0.057142857,0.085714285,0.1875,0.24137931,0.25,0.285714285,0.4375,0.31085544654301234,0.327,100.2884591548723,-0.0033334316685795784,0.00832715537655429,0.08335667848587036,0.13157746979059948,"Pavin Smith",19892,656976
"Sean Bouchard","COL",17,60,1,7,3,1,0.133333333,0.283333333,0.156862745,0.333333333,0.235294117,0.35,0.392156862,0.3351874162753423,0.305,101.91359561840285,0.08916178718209267,0.2217697069854201,-0.9767411053180695,0.13019546772572535,"Sean Bouchard",21270,656248
"Cristian Pache","PHI",16,42,0,4,5,0,0.166666666,0.285714285,0.029411765,0.304347826,0.205882352,0.333333333,0.235294117,0.273678366627012,0.299,74.73953186139555,0.23639842169359326,-0.9889475556033482,0.7794595062732697,0.12448788365172267,"Cristian Pache",19948,665506
"Chadwick Tromp","ATL",15,40,0,1,6,0,0.025,0.3,0.105263158,0.296296296,0.210526315,0.225,0.315789473,0.2341318264603615,0.236,46.99167245939144,-0.128992001991719,-2.577898127477243,2.4346407055854797,0.12444142943487431,"Chadwick Tromp",16953,644433
"Jonathan India","CIN",38,164,2,13,11,4,0.12804878,0.18902439,0.078571429,0.277777777,0.228571428,0.335365853,0.307142857,0.2980871327766558,0.335,86.67739376372005,-0.4756112224422395,-2.99909829487064,-1.3562912940979004,0.11625657362643751,"Jonathan India",21523,663697
"Johan Rojas","PHI",38,133,2,14,14,9,0.045112781,0.180451127,0.089430894,0.268041237,0.227642276,0.269230769,0.31707317,0.2628156244754791,0.264,67.36345286412052,1.893318281043321,-3.1199839863653853,-0.2779567837715149,0.10830932222608107,"Johan Rojas",24336,679032
"Christopher Morel","CHC",45,186,9,22,31,4,0.102150537,0.215053763,0.202453988,0.222222222,0.214723926,0.295698924,0.417177914,0.3110872120470614,0.368,101.65048625174276,-0.24212858453392982,0.11243399590291353,-5.284450441598892,0.10755764095445891,"Christopher Morel",21897,666624
"Geraldo Perdomo","ARI",7,27,0,3,2,0,0.074074074,0.111111111,0.041666666,0.285714285,0.25,0.333333333,0.291666666,0.2908990294845016,0.319,86.73754294304173,-0.07500173337757587,-0.48857818140081477,0.5945349335670471,0.10518588453613403,"Geraldo Perdomo",22799,672695
"Randal Grichuk","ARI",26,71,1,6,10,0,0.042253521,0.126760563,0.138461539,0.298245614,0.276923076,0.309859154,0.415384615,0.3151340106843223,0.316,103.19371334032277,-0.060393466148525476,0.2014985899100476,-1.6718379855155945,0.093743013036576,"Randal Grichuk",10243,545341
"Andrew McCutchen","PIT",35,147,6,19,11,1,0.122448979,0.265306122,0.16535433,0.25609756,0.212598425,0.319727891,0.377952755,0.3131951342706811,0.369,100.69529261287822,-0.6714107352308929,-0.553364268100536,-3.5189551934599876,0.08659879691309719,"Andrew McCutchen",9847,457705
"Jeimer Candelario","CIN",39,157,4,14,17,0,0.070063694,0.267515923,0.174825175,0.295918367,0.23076923,0.29299363,0.405594405,0.30761007670384305,0.283,93.14371559237925,-0.3181742178276181,-1.5614186442584463,-2.872875303030014,0.08360865252699934,"Jeimer Candelario",13621,600869
"Alek Thomas","ARI",4,14,1,2,4,0,0,0.214285714,0.285714286,0.2,0.214285714,0.214285714,0.5,0.30445970382009235,0.332,95.94558670955264,-0.05149895465001464,-0.1170567132327028,0.3945198766887188,0.07780588341464367,"Alek Thomas",23792,677950
"Luis Arraez","- - -",44,197,0,28,9,1,0.050761421,0.065989847,0.065573771,0.329411764,0.306010928,0.352040816,0.371584699,0.32481190014858635,0.329,110.95715124061358,-0.8884864775463939,1.6045689059588568,-7.468838095664978,0.07352191860350847,"Luis Arraez",18568,650333
"Adam Duvall","ATL",25,74,2,7,8,0,0.121621621,0.243243243,0.126984127,0.25,0.206349206,0.31081081,0.333333333,0.29396461715569366,0.336,87.61966349882836,0.10627105040475726,-0.9518423462048666,-0.8258832395076752,0.07206179284378501,"Adam Duvall",10950,594807
"Curt Casali","SFG",1,3,0,1,0,0,0.333333333,0,0,0.5,0.5,0.666666666,0.5,0.5291409492492676,0.323,252.53391946016998,-0.14000803511589766,0.3885050311907553,0.19548547640442848,0.07151347105140722,"Curt Casali",12510,592200
"Jason Heyward","LAD",5,19,1,4,4,0,0,0.052631578,0.176470588,0.1875,0.235294117,0.263157894,0.411764705,0.2894318354757209,0.249,88.37699375979534,-0.0310670449398458,-0.28612572980939627,0.3232530355453491,0.07010582981301348,"Jason Heyward",4940,518792
"Dane Myers","MIA",11,26,0,5,5,1,0.153846153,0.384615384,0.090909091,0.5,0.272727272,0.384615384,0.363636363,0.3408294297181643,0.385,120.41532429680473,0.2445454434491694,0.8575979538466508,-1.0731638073921204,0.06808476264984298,"Dane Myers",22054,667472
"Austin Barnes","LAD",14,42,0,2,2,0,0.166666666,0.238095238,0.028571428,0.28,0.2,0.333333333,0.228571428,0.273678366627012,0.334,77.67998658718281,-0.10398519737645984,-1.186694294394814,0.33263038098812103,0.05709656773451778,"Austin Barnes",12158,605131
"Luis Guillorme","ATL",10,21,0,2,3,0,0.047619047,0.238095238,0.1,0.2,0.15,0.19047619,0.25,0.197026184626988,0.245,21.795995199489493,0.2779095070436597,-1.6188677451634785,1.4222528338432312,0.05263871102026149,"Luis Guillorme",16451,641645
"Joey Gallo","WSN",24,95,3,8,5,1,0.157894736,0.484210526,0.192307692,0.24137931,0.128205128,0.284210526,0.32051282,0.28109824030022873,0.285,79.92114847356846,0.15535556990653276,-2.04772569761777,-0.6307603120803833,0.051081097149690474,"Joey Gallo",14128,608336
"Avisaíl García","MIA",18,51,2,4,2,0,0.019607843,0.25490196,0.14,0.285714285,0.24,0.25490196,0.38,0.27828281065996957,0.302,77.94457457725909,0.026919403113424778,-1.2722137308289119,0.026483535766601562,0.0475166243220105,"Avisail Garcia",5760,541645
"Edward Olivares","PIT",28,101,5,12,14,0,0.06930693,0.198019801,0.193548387,0.25,0.236559139,0.297029702,0.430107526,0.3206519277969209,0.367,105.75864561791597,-0.04519511107355356,0.6265581310271975,-3.6260251998901367,0.03843495384253362,"Edward Olivares",19698,658668
"Drew Millas","WSN",2,6,0,0,0,1,0,0.166666666,0,0.2,0.166666666,0.166666666,0.166666666,0.14875534176826477,0.105,-9.94305530506644,0.1923478045500815,-0.5695331132686658,0.6896988898515701,0.033476380713094424,"Drew Millas",25643,686452
"Brendan Rodgers","COL",40,154,1,16,10,1,0.058441558,0.253246753,0.082758621,0.352380952,0.262068965,0.305194805,0.344827586,0.29076021600079227,0.292,71.7463934256677,-0.32406044099479914,-5.349368136142324,0.5283553674817085,0.03272021456897465,"Brendan Rodgers",17907,663898
"Jorge Barrosa","ARI",3,10,0,1,1,0,0,0.1,0.1,0.222222222,0.2,0.2,0.3,0.21675955653190612,0.387,36.39494972982538,-0.007652198430150747,-0.7422669488159213,0.7123805359005928,0.0317301321158938,"Jorge Barrosa",23968,678489
"Pedro Pagés","STL",7,12,0,0,4,0,0.25,0.25,0.125,0.166666666,0.125,0.333333333,0.25,0.2799779921770096,0.446,81.91522333719644,-0.15778979705646634,-0.4084367561421831,0.23352035880088806,0.023538002394395695,"Pedro Pages",25782,686780
"Nick Gordon","MIA",40,116,5,11,16,2,0.034482758,0.206896551,0.162162162,0.240963855,0.225225225,0.25,0.387387387,0.2780344830504779,0.273,77.77595379631231,-0.5640455665998161,-3.541527703436006,-0.12188553810119629,0.021300642957161747,"Nick Gordon",16337,624503
"Tyler Black","MIL",7,23,0,1,0,2,0.04347826,0.347826086,0.090909091,0.357142857,0.227272727,0.260869565,0.318181818,0.25750495558199676,0.177,64.06119894778713,0.572391340509057,-0.3822922652672093,-0.3185739815235138,0.00688948227966598,"Tyler Black",29949,672012
"Scott McGough","ARI",15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2434550027396984,0.21302004158496857,0.00030346175031171346,"Scott McGough",12056,543518
"Adam Ottavino","NYM",17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Adam Ottavino",1247,493603
"Lance Lynn","STL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Lance Lynn",2520,458681
"Justin Wilson","CIN",16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Justin Wilson",4301,458677
"Charlie Morton","ATL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Charlie Morton",4676,450203
"Jake Diekman","NYM",17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Jake Diekman",5003,518617
"Jesse Chavez","ATL",13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Jesse Chavez",5448,445926
"Ryan Brasier","LAD",12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Ryan Brasier",5615,518489
"Julio Teheran","NYM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Julio Teheran",6797,527054
"Martín Pérez","PIT",9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Martin Perez",6902,527048
"Fernando Cruz","CIN",20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Fernando Cruz",7048,518585
"Daniel Hudson","LAD",18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Daniel Hudson",7146,543339
"Wade Miley","MIL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,"Wade Miley",8779,489119
